,SchoolCode,DisciplineRate,DisciplineInt
178405,2879.0,<5%,4_to_7
179501,5410.0,,
179537,1804.0,<7%,4_to_7
179614,5359.0,<6%,4_to_7
180147,1962.0,<10%,
181144,2306.0,1.30%,below_2
181508,1738.0,<8%,
181552,4063.0,5.00%,4_to_7
181731,5255.0,<7%,4_to_7
183324,5437.0,<10%,
183428,4081.0,2.20%,2_to_4
184133,5128.0,5.70%,4_to_7
184976,3048.0,,
185320,2856.0,<4%,2_to_4
185804,3645.0,3.80%,2_to_4
186232,5033.0,3.30%,2_to_4
186740,2555.0,2.00%,below_2
186934,3314.0,5.50%,4_to_7
